Adresse,Latitude,Longitude
FLISNESVEGEN 1,62.4319749,6.4127797
LERSTADVEGEN 545,62.471726,6.363353
LORKENESTORGET,62.4709816,6.1522101
SMEDGARDEN 1,62.4604828,6.2686763
Øvre Geilegrend 1,62.4643885,6.3172074
FOGD GREVES VEG 3,62.4727409,6.230942
KONGENS GATE 6,62.4731906,6.1567012
Gamle Blindheimsveg 25,62.442025,6.371977
Spjelkavikvegen 61,62.4622693,6.3640886
SPJELKAVIKVEGEN 42,62.463529,6.364485
SKAREGATA 1,62.474674,6.156916
Rasmus Rønnebergs gate 21,62.4723101,6.1583677
BROGATA 1,62.469771,6.125637
KONGENS GATE 28A,62.4750822,6.1566431
SKANSEKAIA 4A,62.4752085,6.1518624
SORENSKRIVER BULLS GATE 7,62.4756638,6.1552199
PARKGATA 11B,62.472774,6.165056
KONGENS GATE 27,62.4755287,6.1560491
RASMUS RØNNEBERGS GATE 4,62.470954,6.153081
LARSGÅRDSVEGEN 19,62.472382,6.240615
SUNDGATA 8,62.471056,6.166693
RASMUS RØNNEBERGS GATE 6,62.4712466,6.1538577
NEDRE STRANDGATE 51,62.470082,6.140048
NØRVEGATA 23,62.4715115,6.2065205
NEDRE KLOKKERSUNDVEGEN 2,62.466608,6.246044
LERSTADVEGEN 291,62.468368,6.292074
APOTEKERGATA 1-3,62.4722192,6.1522983
APOTEKERGATA 5,62.4720649,6.1521511
SKARBØVIKGATA 25,62.4666932,6.114175
OLE THORESENS GATE 16,62.46609,6.109488
JOHS. AARFLOTS GATE 4,62.4708459,6.1312305
KIPERVIKGATA 5,62.4719148,6.1593252
KIRKEGATA 1 A,62.4707113,6.1493897
SKARBØVIKGATA 26,62.466733,6.113678
APOTEKERGATA 8,62.471939,6.151269
KONGENS GATE 28,62.475145,6.1566068
SJØMANNSVEGEN 14,62.470269,6.18723
NEDRE STRANDGATE 9,62.4703741,6.1502732
FJORDGATA 52,62.4717044,6.1319053
Depot,62.4293036,6.3280543
